sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Propionibacteriales	85009	O	895	1	896	0.93724
SRR6145058	Primates	9443	O	43	0	43	0.04498
SRR6145058	Micrococcales	85006	O	5	0	5	0.00523
SRR6145058	Bacillales	1385	O	5	0	5	0.00523
SRR6145058	Zurhausenvirales	2732533	O	3	0	3	0.00314
SRR6145058	Pseudomonadales	72274	O	2	0	2	0.00209
SRR6145058	Rhizobiales	356	O	1	0	1	0.00105
SRR6145058	Clostridiales	186802	O	1	0	1	0.00105
SRR6145058	Streptomycetales	85011	O	1	-1	0	0.00000
