sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145058	Propionibacteriaceae	31957	F	895	1	896	0.93724
SRR6145058	Hominidae	9604	F	43	0	43	0.04498
SRR6145058	Staphylococcaceae	90964	F	5	0	5	0.00523
SRR6145058	Micrococcaceae	1268	F	5	0	5	0.00523
SRR6145058	Papillomaviridae	151340	F	3	0	3	0.00314
SRR6145058	Pseudomonadaceae	135621	F	1	0	1	0.00105
SRR6145058	Moraxellaceae	468	F	1	0	1	0.00105
SRR6145058	Clostridiaceae	31979	F	1	0	1	0.00105
SRR6145058	Bradyrhizobiaceae	41294	F	1	0	1	0.00105
SRR6145058	Streptomycetaceae	2062	F	1	-1	0	0.00000
