sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR9696284	Mammalia	40674	C	9859824	3340	9863164	0.99515
SRR9696284	Actinobacteria	1760	C	24621	39	24660	0.00249
SRR9696284	Gammaproteobacteria	1236	C	869	15186	16055	0.00162
SRR9696284	Bacilli	91061	C	4635	314	4949	0.00050
SRR9696284	Tissierellia	1737404	C	437	46	483	0.00005
SRR9696284	Caudoviricetes	2731619	C	533	9	542	0.00005
SRR9696284	Alphaproteobacteria	28211	C	503	-5	498	0.00005
SRR9696284	Betaproteobacteria	28216	C	248	14	262	0.00003
SRR9696284	Clostridia	186801	C	156	4	160	0.00002
SRR9696284	Flavobacteriia	117743	C	67	0	67	0.00001
SRR9696284	Bacteroidia	200643	C	70	-1	69	0.00001
SRR9696284	Vicinamibacteria	1813735	C	5	0	5	0.00000
SRR9696284	Verrucomicrobiae	203494	C	3	0	3	0.00000
SRR9696284	Thermotogae	188708	C	4	-1	3	0.00000
SRR9696284	Thermoprotei	183924	C	4	0	4	0.00000
SRR9696284	Thermomicrobia	189775	C	3	0	3	0.00000
SRR9696284	Thermoleophilia	1497346	C	2	0	2	0.00000
SRR9696284	Thermococci	183968	C	1	0	1	0.00000
SRR9696284	Synergistia	649775	C	2	1	3	0.00000
SRR9696284	Spirochaetia	203692	C	8	0	8	0.00000
SRR9696284	Sphingobacteriia	117747	C	8	0	8	0.00000
SRR9696284	Saprospiria	1937959	C	1	0	1	0.00000
SRR9696284	Rubrobacteria	84995	C	3	0	3	0.00000
SRR9696284	Planctomycetia	203683	C	14	8	22	0.00000
SRR9696284	Phycisphaerae	666505	C	3	0	3	0.00000
SRR9696284	Opitutae	414999	C	3	0	3	0.00000
SRR9696284	Oligoflexia	1553900	C	2	0	2	0.00000
SRR9696284	Nitrospira	203693	C	2	-2	0	0.00000
SRR9696284	Negativicutes	909932	C	24	0	24	0.00000
SRR9696284	Monjiviricetes	2497574	C	1	0	1	0.00000
SRR9696284	Mollicutes	31969	C	19	0	19	0.00000
SRR9696284	Methanomicrobia	224756	C	3	0	3	0.00000
SRR9696284	Methanococci	183939	C	2	0	2	0.00000
SRR9696284	Methanobacteria	183925	C	1	0	1	0.00000
SRR9696284	Halobacteria	183963	C	17	0	17	0.00000
SRR9696284	Gemmatimonadetes	219685	C	3	0	3	0.00000
SRR9696284	Fusobacteriia	203490	C	40	0	40	0.00000
SRR9696284	Faserviricetes	2732411	C	1	0	1	0.00000
SRR9696284	Erysipelotrichia	526524	C	5	21	26	0.00000
SRR9696284	Epsilonproteobacteria	29547	C	30	0	30	0.00000
SRR9696284	Deltaproteobacteria	28221	C	36	-1	35	0.00000
SRR9696284	Deinococci	188787	C	8	0	8	0.00000
SRR9696284	Cytophagia	768503	C	21	0	21	0.00000
SRR9696284	Coriobacteriia	84998	C	5	0	5	0.00000
SRR9696284	Chthonomonadetes	1077257	C	1	0	1	0.00000
SRR9696284	Chloroflexia	32061	C	1	1	2	0.00000
SRR9696284	Chlorobia	191410	C	3	0	3	0.00000
SRR9696284	Chlamydiia	204429	C	2	0	2	0.00000
SRR9696284	Chitinophagia	1853228	C	9	0	9	0.00000
SRR9696284	Ardenticatenia	1382928	C	2	0	2	0.00000
SRR9696284	Archaeoglobi	183980	C	1	0	1	0.00000
SRR9696284	Aquificae	187857	C	1	0	1	0.00000
SRR9696284	Alsuviricetes	2732461	C	1	0	1	0.00000
SRR9696284	Acidobacteriia	204432	C	1	0	1	0.00000
SRR9696284	Acidithiobacillia	1807140	C	1	0	1	0.00000
SRR9696284	Acidimicrobiia	84992	C	6	0	6	0.00000
