sample	contig	taxid	name
SRR6145060	k99_5036	1234380	Cutibacterium acnes C1
SRR6145060	k99_5524	9606	Homo sapiens
SRR6145060	k99_11480	1747	Cutibacterium acnes
SRR6145060	k99_3139	1747	Cutibacterium acnes
SRR6145060	k99_14682	1747	Cutibacterium acnes
SRR6145060	k99_4198	1234380	Cutibacterium acnes C1
SRR6145060	k99_7345	1234380	Cutibacterium acnes C1
SRR6145060	k99_15760	1234380	Cutibacterium acnes C1
SRR6145060	k99_7757	1747	Cutibacterium acnes
SRR6145060	k99_9768	1747	Cutibacterium acnes
SRR6145060	k99_3871	1747	Cutibacterium acnes
SRR6145060	k99_11812	1747	Cutibacterium acnes
SRR6145060	k99_8781	1747	Cutibacterium acnes
SRR6145060	k99_15761	1234380	Cutibacterium acnes C1
SRR6145060	k99_12716	1270	Micrococcus luteus
SRR6145060	k99_6431	1747	Cutibacterium acnes
SRR6145060	k99_5426	1747	Cutibacterium acnes
SRR6145060	k99_9770	1747	Cutibacterium acnes
SRR6145060	k99_7693	1747	Cutibacterium acnes
SRR6145060	k99_6945	9606	Homo sapiens
SRR6145060	k99_15815	1234380	Cutibacterium acnes C1
SRR6145060	k99_14845	1747	Cutibacterium acnes
SRR6145060	k99_13133	1747	Cutibacterium acnes
SRR6145060	k99_11336	1747	Cutibacterium acnes
SRR6145060	k99_394	1747	Cutibacterium acnes
SRR6145060	k99_4117	1234380	Cutibacterium acnes C1
SRR6145060	k99_15090	1747	Cutibacterium acnes
SRR6145060	k99_4026	1747	Cutibacterium acnes
SRR6145060	k99_4695	1747	Cutibacterium acnes
SRR6145060	k99_9691	1747	Cutibacterium acnes
SRR6145060	k99_13303	1747	Cutibacterium acnes
SRR6145060	k99_6774	1747	Cutibacterium acnes
SRR6145060	k99_8933	2618749	unclassified Scytonema
SRR6145060	k99_11979	1747	Cutibacterium acnes
SRR6145060	k99_1200	1747	Cutibacterium acnes
SRR6145060	k99_12961	1747	Cutibacterium acnes
SRR6145060	k99_12054	1747	Cutibacterium acnes
SRR6145060	k99_5190	1747	Cutibacterium acnes
SRR6145060	k99_13868	1747	Cutibacterium acnes
SRR6145060	k99_6435	1747	Cutibacterium acnes
SRR6145060	k99_5871	1234380	Cutibacterium acnes C1
SRR6145060	k99_10330	1234380	Cutibacterium acnes C1
SRR6145060	k99_6613	1270	Micrococcus luteus
SRR6145060	k99_7694	84022	Clostridium aceticum
SRR6145060	k99_13957	1234380	Cutibacterium acnes C1
SRR6145060	k99_6269	1234380	Cutibacterium acnes C1
SRR6145060	k99_6614	1747	Cutibacterium acnes
SRR6145060	k99_3290	1747	Cutibacterium acnes
SRR6145060	k99_13360	1747	Cutibacterium acnes
