sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Thermomonosporaceae	2012	F	897	27	924	0.00011
SRR6145059	Sinobacteraceae	568386	F	895	7	902	0.00011
SRR6145059	Polyangiaceae	49	F	857	26	883	0.00011
SRR6145059	Paenibacillaceae	186822	F	957	-1	956	0.00011
SRR6145059	Nakamurellaceae	85031	F	874	16	890	0.00011
SRR6145059	Microcoleaceae	1892252	F	871	20	891	0.00011
SRR6145059	Frankiaceae	74712	F	858	78	936	0.00011
SRR6145059	Clostridiaceae	31979	F	919	10	929	0.00011
SRR6145059	Streptosporangiaceae	2004	F	814	17	831	0.00010
SRR6145059	Rhodanobacteraceae	1775411	F	831	39	870	0.00010
SRR6145059	Myxococcaceae	31	F	793	33	826	0.00010
SRR6145059	Conexibacteraceae	320583	F	795	7	802	0.00010
SRR6145059	Chromobacteriaceae	1499392	F	801	11	812	0.00010
SRR6145059	Carnobacteriaceae	186828	F	821	14	835	0.00010
SRR6145059	Archangiaceae	39	F	818	34	852	0.00010
SRR6145059	Shewanellaceae	267890	F	691	41	732	0.00009
SRR6145059	Pectobacteriaceae	1903410	F	564	214	778	0.00009
SRR6145059	Cytophagaceae	89373	F	792	6	798	0.00009
SRR6145059	Chitinophagaceae	563835	F	750	0	750	0.00009
SRR6145059	Papillomaviridae	151340	F	670	-18	652	0.00008
SRR6145059	Morganellaceae	1903414	F	608	62	670	0.00008
SRR6145059	Leuconostocaceae	81850	F	673	19	692	0.00008
SRR6145059	Lachnospiraceae	186803	F	607	28	635	0.00008
SRR6145059	Gemmataceae	1914233	F	630	1	631	0.00008
SRR6145059	Tannerellaceae	2005525	F	554	23	577	0.00007
SRR6145059	Rhodocyclaceae	75787	F	501	58	559	0.00007
SRR6145059	Porphyromonadaceae	171551	F	565	29	594	0.00007
SRR6145059	Nocardiopsaceae	83676	F	569	11	580	0.00007
SRR6145059	Chromatiaceae	1046	F	595	5	600	0.00007
SRR6145059	Beutenbergiaceae	125316	F	541	23	564	0.00007
SRR6145059	Spirochaetaceae	137	F	534	4	538	0.00006
SRR6145059	Planctomycetaceae	126	F	423	67	490	0.00006
SRR6145059	Natrialbaceae	1644061	F	516	10	526	0.00006
SRR6145059	Jiangellaceae	1217100	F	468	8	476	0.00006
SRR6145059	Enterococcaceae	81852	F	449	24	473	0.00006
SRR6145059	Ectothiorhodospiraceae	72276	F	462	56	518	0.00006
SRR6145059	Desulfovibrionaceae	194924	F	470	7	477	0.00006
SRR6145059	Chroococcidiopsidaceae	1890528	F	490	16	506	0.00006
SRR6145059	Brachyspiraceae	143786	F	40	481	521	0.00006
SRR6145059	Bogoriellaceae	145358	F	529	15	544	0.00006
SRR6145059	Bacteroidaceae	815	F	475	27	502	0.00006
SRR6145059	Alteromonadaceae	72275	F	522	23	545	0.00006
SRR6145059	Sterolibacteriaceae	2008793	F	243	196	439	0.00005
SRR6145059	Ruaniaceae	1331736	F	272	173	445	0.00005
SRR6145059	Labilitrichaceae	1524216	F	186	193	379	0.00005
